Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
European Union,"Inflation, average consumer prices",Percent change,,,11.973,12.155,14.742,9.268,10.084,6.183,4.173,4.091,6.04,15.97,31.216,15.284,11.528,19.554,8.97,5.613,5.442,12.487,3.42,2.553,3.645,3.484,2.726,2.383,2.536,2.37,2.344,2.392,3.735,0.8,1.774,2.865,2.624,1.384,0.398,0.113,0.159,1.582,1.858,1.433,0.676,2.896,9.172,6.753,2.959,2.323,2.025,1.961,
Emerging market and developing economies,"Inflation, average consumer prices",Percent change,,,25.889,22.999,25.953,28.778,31.154,32.041,30.276,38.739,55.568,64.727,76.972,43.014,111.575,113.77,86.44,38.309,19.641,12.906,13.249,13.163,8.493,7.842,6.466,6.477,5.956,6.006,5.892,6.514,9.253,5.224,5.671,7.102,5.823,5.459,4.702,4.734,4.352,4.483,4.964,5.125,5.143,5.887,9.881,8.056,5.342,4.626,4.368,4.263,
Emerging and developing Asia,"Inflation, average consumer prices",Percent change,,,n/a,11.155,8.319,8.834,9.141,9.19,10.83,11.094,14.898,11.417,7.977,9.956,8.305,10.09,14.338,11.977,8.156,4.675,10.746,4.044,2.079,3.002,2.415,2.944,4.262,3.974,4.575,5.413,7.615,3.153,5.281,6.515,4.657,4.621,3.456,2.664,2.787,2.455,2.682,3.285,3.129,2.207,4.061,3.634,2.791,2.811,2.765,2.767,
Emerging and developing Europe,"Inflation, average consumer prices",Percent change,,,28.977,17.038,36.451,17.013,32.391,17.969,16.199,20.217,39.867,69.421,131.122,89.258,640.751,504.122,216.876,129.889,49.911,39.245,35.371,55.633,28.229,24.563,17.401,12.699,9.071,9.628,7.984,7.92,12.029,8.72,6.476,7.831,6.268,5.544,6.534,10.61,5.532,5.569,6.391,6.613,5.343,9.518,27.842,19.371,9.972,7.601,6.856,6.68,
ASEAN-5,"Inflation, average consumer prices",Percent change,,,17.54,15.376,12.71,10.344,16.981,11.982,17.364,17.811,18.872,11.17,9.316,13.109,8.423,7.074,7.685,8.099,6.807,5.341,28.442,10.328,2.82,6.153,6.255,4.067,4.751,7.505,8.525,4.656,9.438,3.26,4.578,6.026,3.937,4.616,4.535,3.062,2.325,3.07,2.888,2.119,1.359,1.95,4.697,4.358,2.842,2.909,2.871,2.879,
Latin America and the Caribbean,"Inflation, average consumer prices",Percent change,,,52.109,54.152,64.913,94.199,101.257,118.119,95.838,138.294,251.251,332.182,476.54,142.684,195.137,278.388,284.482,41.344,20.754,12.508,9.455,9.679,8.902,6.967,6.496,9.317,6.103,5.414,4.195,4.174,6.425,4.567,4.228,5.18,4.598,4.579,4.89,5.436,5.493,6.31,6.567,7.656,6.399,9.788,14.062,11.446,8.051,6.489,6.082,5.664,
Middle East and Central Asia,"Inflation, average consumer prices",Percent change,,,11.364,10.901,9.502,8.941,7.273,6.098,11.339,14.422,11.637,9.87,6.803,13.47,16.496,35.573,35.712,25.283,12.923,8.235,6.337,5.668,3.779,3.826,4.946,5.159,5.96,7.002,8.102,10.255,12.229,7.129,6.548,9.047,8.995,8.43,6.476,5.589,5.901,7.115,9.974,7.686,10.451,12.933,13.765,13.06,8.859,7.451,6.962,6.818,
Sub-Saharan Africa,"Inflation, average consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.051,16.608,9.699,13.312,16.268,14.284,10.921,11.416,9.161,9.447,7.423,5.433,12.651,9.57,7.833,9.29,9.005,6.553,6.352,6.721,10.214,10.683,8.332,8.161,10.186,11.066,14.436,11.872,8.572,7.272,6.971,6.898,
World,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,16.472,9.663,18.178,22.93,24.258,25.093,18.914,41.801,41.925,25.52,12.596,7.892,5.97,7.186,5.099,4.853,3.91,4.072,3.626,4.107,3.966,3.922,5.294,4.656,3.114,4.289,4.749,3.97,3.268,2.896,2.822,3.022,3.331,3.563,3.849,2.806,6.391,9.06,5.068,3.752,3.44,3.338,3.281,
Advanced economies,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.874,5.906,4.061,2.956,2.98,2.591,2.492,2.471,1.891,1.306,1.797,2.422,1.416,2.101,1.583,2.374,2.419,1.891,3.13,1.532,1.167,1.878,2.637,1.746,1.246,0.679,0.51,1.487,1.687,1.62,1.531,0.524,5.233,7.036,3.204,2.117,1.924,1.858,1.828,
Euro area,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.215,3.115,2.635,2.337,1.762,1.482,0.751,1.734,2.49,2.053,2.317,1.979,2.318,2.254,1.901,3.067,1.577,0.929,2.21,2.755,2.217,0.848,-0.17,0.251,1.1,1.345,1.522,1.326,-0.266,4.964,8.839,4.469,2.416,2.046,1.879,1.851,
Major advanced economies (G7),"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.711,2.619,2.21,2.177,2.23,1.664,1.146,1.802,2.233,1.14,1.927,1.508,2.399,2.391,1.819,3.035,1.165,1.138,1.641,2.579,1.614,1.286,0.781,0.493,1.583,1.788,1.719,1.61,0.641,5.564,6.849,3.154,2.017,1.888,1.835,1.877,
Other advanced economies (Advanced economies excluding G7 and euro area),"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.225,7.224,5.488,3.046,4.029,3.831,3.926,3.397,3.007,2.024,1.164,2.599,1.492,2.206,1.414,2.06,2.244,1.852,3.332,3.064,1.653,2.475,2.873,1.798,1.445,0.974,0.699,1.226,1.417,1.306,1.273,0.412,3.504,6.219,3.036,2.214,2.007,1.917,1.574,
European Union,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.452,18.372,6.72,4.933,6.85,9.12,2.301,3.406,3.769,2.955,2.606,2.318,2.615,2.386,2.079,3.411,2.012,1.244,2.453,2.801,2.369,0.839,-0.147,0.189,1.089,1.488,1.588,1.629,0.075,5.313,10.006,4.965,2.614,2.165,1.988,1.959,
Emerging market and developing economies,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,24.351,50.857,66.982,69.939,67.336,47.437,127.054,124.284,67.811,28.737,15.929,11.857,15.891,9.858,8.252,7.322,6.674,6.199,6.194,5.76,6.174,7.579,7.811,4.947,6.463,6.576,5.817,4.918,4.692,4.733,4.28,4.641,5.077,5.629,4.516,7.257,10.566,6.403,4.886,4.466,4.316,4.218,
Emerging and developing Asia,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,8.035,6.65,7.164,15.922,7.656,10.747,9.83,7.179,12.064,14.913,9.567,7.433,4.911,10.485,1.361,3.031,2.725,2.574,3.673,3.832,4.696,4.654,6.479,4.928,4.102,5.94,5.455,4.588,4.356,3.045,2.658,2.654,2.774,2.285,4.654,1.219,3.023,4.656,2.958,2.772,2.778,2.762,2.763,
Emerging and developing Europe,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45.233,63.203,134.027,891.038,548.33,158.111,90.136,37.693,36.867,54.6,37.66,24.463,23.332,13.88,11.125,9.667,8.331,7.763,9.939,10.817,7.171,7.234,7.905,5.711,5.059,8.352,9.665,5.27,5.334,7.609,5.261,6.438,14.963,28.315,13.944,8.786,7.109,6.778,6.731,
ASEAN-5,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,13.097,4.082,5.03,2.833,15.208,8.879,13.103,11.779,5.729,7.384,8.301,9.19,5.757,7.538,31.998,1.749,5.561,6.276,5.516,3.391,5.48,10.561,5.247,5.114,8.431,3.258,5.648,5.108,3.58,5.482,4.627,1.837,2.612,2.853,2.523,2.406,0.952,2.229,6.169,2.85,2.953,2.86,2.873,2.877,
Latin America and the Caribbean,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,81.603,97.402,106.798,123.392,71.583,185.388,291.019,387.957,356.457,140.241,209.712,315.973,180.506,28.023,16.037,10.06,9.564,9.958,8.24,6.136,8.614,6.953,6.442,4.831,3.744,4.915,6.741,3.254,4.97,5.331,4.382,4.544,4.945,6.091,4.538,6.218,7.583,7.731,6.336,11.559,14.64,9.52,6.845,6.376,5.911,5.472,
Middle East and Central Asia,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.712,17.546,11.86,38.681,33.112,19.531,10.86,7.763,5.962,5.569,3.35,4.089,5.91,5.651,7.648,6.168,9.911,10.479,11.891,5.532,8.153,8.668,10.181,6.483,6.261,5.465,6.528,7.566,10.565,6.596,12.903,12.677,15.56,10.766,7.923,7.089,6.875,6.76,
Sub-Saharan Africa,"Inflation, end of period consumer prices",Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31.146,12.368,13.705,13.963,18.556,12.362,13.184,10.633,8.294,7.734,7.946,7.565,13.078,8.844,7.457,9.912,7.991,6.104,6.089,7.782,11.491,10.082,7.665,9.146,10.645,11.5,15.545,10.168,7.954,7.01,6.935,6.723,
World,Trade volume of goods and services,Percent change,,,2.945,3.234,-1.669,1.559,8.625,2.575,4.532,6.549,8.863,8.219,6.829,5.34,5.554,2.942,9.483,9.563,6.569,10.246,4.871,5.097,12.399,0.64,3.809,5.872,10.962,7.918,9.461,8.037,2.994,-10.314,12.763,7.054,3.112,3.45,3.848,2.91,2.253,5.659,4.069,0.941,-7.82,10.093,4.286,2.506,3.663,3.742,3.648,3.521,
World,Volume of imports of goods and services,Percent change,,,1.643,2.206,-1.622,1.659,8.824,2.259,5.284,7.192,8.849,8.587,6.675,4.655,5.314,2.126,10.296,9.569,7.068,10.099,5.31,5.728,12.558,0.667,3.815,6.096,10.874,8.047,9.29,8.297,3.081,-10.736,12.559,7.249,2.969,3.386,4.09,2.794,2.184,5.771,4.319,0.931,-8.194,10.345,4.695,2.37,3.516,3.744,3.709,3.621,
Advanced economies,Volume of imports of goods and services,Percent change,,,-0.943,-0.018,-0.375,3.151,11.397,4.028,7.607,7.923,9.41,8.569,5.985,3.439,4.773,0.954,11.273,9.394,6.938,9.416,6.081,8.028,12.177,0.006,3.004,4.46,9.218,6.744,7.922,5.373,0.379,-11.331,11.593,5.381,1.669,2.412,3.963,4.747,2.496,4.798,3.809,2.07,-8.416,9.531,6.035,1.997,2.773,2.992,2.999,2.897,
Euro area,Volume of imports of goods and services,Percent change,,,2.766,-2.074,0.78,0.342,5.686,4.518,5.353,7.907,7.662,9.44,7.716,6.27,3.464,-4.651,8.856,8.599,4.429,9.753,10.296,7.45,12.162,2.771,1.077,3.189,6.679,5.974,8.616,6.988,-0.303,-11.52,9.262,4.468,-1.196,1.539,4.419,7.439,4.148,4.972,3.806,4.642,-8.801,8.172,6.04,2.981,3.665,3.699,3.516,3.36,
Major advanced economies (G7),Volume of imports of goods and services,Percent change,,,-2.22,0.027,-0.776,4.295,13.662,4.212,6.281,6.924,8.237,8.15,5.535,2.255,4.155,0.212,11.237,7.982,6.659,9.678,7.808,8.405,11.67,0.17,2.117,3.876,8.279,6.239,7.619,3.397,-0.675,-11.54,11.699,4.972,1.442,1.861,4.894,4.45,2.117,4.541,3.76,1.59,-10.233,10.006,7.656,1.156,1.835,2.331,2.461,2.313,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of imports of goods and services,Percent change,,,n/a,2.448,0.182,-0.145,8.079,2.642,14.3,11.056,13.841,8.257,7.417,6.493,7.526,5.131,12.766,13.643,7.67,7.8,-2.449,6.798,14.455,-3.576,5.792,7.24,13.551,8.58,8.679,8.72,4.439,-9.487,15.239,7.919,4.053,4.219,1.43,2.143,1.983,5.687,3.827,-0.886,-5.579,10.637,3.045,2.887,3.918,3.777,3.632,3.565,
Emerging market and developing economies,Volume of imports of goods and services,Percent change,,,11.554,11.391,-6.1,-3.892,-1.101,-5.204,-5.674,3.092,5.531,8.697,10.803,11.715,8.148,7.455,6.302,10.313,7.599,12.782,2.713,-2.442,14.024,3.093,6.652,11.633,16.263,12.026,13.181,16.164,9.687,-9.412,14.603,10.957,5.415,5.114,4.311,-0.605,1.632,7.538,5.215,-1.039,-7.807,11.777,2.445,2.995,4.737,4.956,4.838,4.757,
Emerging and developing Asia,Volume of imports of goods and services,Percent change,,,9.581,13.623,1.957,6.619,-3.689,-3.646,-0.366,12.702,7.585,17.888,17.044,7.354,10.271,10.269,20.291,20.282,6.42,3.2,-6.08,2.573,19.833,3.19,12.678,18.274,20.792,13.262,12.822,12.918,7.135,-2.671,19.3,12.67,5.796,6.388,6.192,0.651,4.585,9.259,7.401,-3.171,-5.022,12.937,1.848,3.175,5.338,5.743,5.636,5.565,
Emerging and developing Europe,Volume of imports of goods and services,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.192,3.947,14.067,-7.882,8.367,11.966,-3.474,12.114,10.121,23.073,9.682,-10.704,16.974,0.595,11.923,12.13,14.784,9.259,17.298,21.591,11.004,-21.709,16.629,12.531,2.529,2.338,-0.901,-6.617,3.623,11.663,3.176,3.28,-4.205,12.207,-0.495,5.492,6.078,5.846,5.487,4.702,
ASEAN-5,Volume of imports of goods and services,Percent change,,,7.327,15.604,1.271,7.562,-5.137,-7.403,-1.925,18.506,6.64,23.978,21.463,14.157,7.351,12.27,20.073,21.469,6.26,0.992,-16.359,-4.955,22.237,-5.427,5.699,7.306,17.334,12.637,6.375,7.202,7.758,-17.517,16.027,9.704,7.331,3.784,2.614,2.389,4.806,11.52,8.637,-2.264,-10.29,17.696,7.011,4.432,7.809,6.949,6.652,6.453,
Latin America and the Caribbean,Volume of imports of goods and services,Percent change,,,n/a,n/a,n/a,n/a,n/a,0.181,2.047,4.64,10.766,3.682,9.895,14.275,17.082,14.853,15.229,3.204,8.392,20.695,10.057,-4.02,13.03,0.804,-5.452,2.23,11.975,9.724,11.77,13.066,8.096,-14.906,21.098,10.477,4.076,3.404,0.476,-1.565,-2.523,5.642,4.675,-0.965,-12.707,17.488,2.52,0.171,2.28,2.799,2.931,2.819,
Middle East and Central Asia,Volume of imports of goods and services,Percent change,,,7.954,15.327,2.094,1.437,-4.826,-10.48,-17.013,-6.335,-4.843,10.466,9.37,21.311,1.099,-3.542,-11.345,2.704,7.566,8.225,0.825,0.459,7.236,7.262,6.933,9.818,15.086,13.731,11.433,20.531,14.571,-5.222,-1.021,5.904,9.27,6.363,7.782,1.931,-0.604,2.594,0.385,-1.115,-15.388,5.417,7.409,2.437,3.554,3.455,3.148,3.822,
Sub-Saharan Africa,Volume of imports of goods and services,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.38,0.472,2.771,5.258,14.211,3.474,8.924,8.075,-4.285,-2.037,8.637,6.001,7.443,8.275,15.087,11.151,16.501,12.025,-4.228,8.995,8.742,5.261,5.026,6.667,2.105,-8.905,1.286,7.156,6.672,-10.056,0.907,5.251,3.355,4.431,3.732,3.84,3.724,
World,Volume of imports of goods,Percent change,,,1.284,1.102,-1.478,2.656,9.935,3.163,6.56,6.879,9.714,7.907,6.578,5.126,6.445,2.917,10.785,10.285,7.149,11.04,4.893,6.224,13.037,0.088,4.079,6.985,11.27,8.344,9.484,8.057,3.001,-12.261,13.946,7.902,2.585,3.181,3.122,2.288,2.169,5.784,4.343,0.328,-5.722,11.321,3.78,2.043,2.955,3.684,3.712,3.61,
Advanced economies,Volume of imports of goods,Percent change,,,-1.04,-1.023,-0.263,4.087,12.115,4.728,8.341,7.56,9.758,7.92,5.311,4.128,6.187,1.596,11.431,10.131,6.822,10.154,5.945,8.479,12.843,-0.845,3.27,5.331,9.671,7.112,8.335,4.993,0.032,-12.967,13.227,6.004,1.156,2.364,3.382,3.718,2.165,4.796,3.757,0.562,-5.784,10.845,5.309,1.471,2.419,2.87,2.902,2.76,
Euro area,Volume of imports of goods,Percent change,,,3.765,-4.252,0.833,0.323,6.003,4.812,6.238,8.381,8.594,9.7,7.617,7.048,2.447,-5.773,10.417,9.341,3.811,9.76,10.092,7.352,12.173,1.907,1.208,3.827,7.526,6.048,9.255,6.837,-0.502,-12.779,10.267,4.788,-1.935,0.857,3.868,5.642,4.136,5.047,3.848,2.026,-7.052,9.349,5.713,3.024,3.668,3.73,3.576,3.288,
Major advanced economies (G7),Volume of imports of goods,Percent change,,,-3.586,-1.643,-1.172,5.275,14.346,5.035,7.532,6.592,8.821,7.248,4.558,3.316,6.467,0.816,10.899,9.007,6.676,10.438,8.379,9.26,12.621,-0.504,2.368,4.806,8.696,6.857,8.101,2.889,-1.037,-13.177,13.308,5.634,0.953,1.936,4.644,4.486,1.933,4.555,3.857,1.167,-7.375,10.3,6.94,0.387,1.38,2.258,2.383,2.179,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of imports of goods,Percent change,,,n/a,3.363,2.322,1.574,8.979,3.188,12.669,10.306,13.413,8.516,6.716,6.584,7.157,6.994,13.451,13.27,7.358,9.211,-3.554,6.956,15.57,-5.051,6.468,8.386,13.873,8.688,8.977,8.785,4.426,-10.865,17.189,8.739,3.102,4.163,0.24,0.835,1.286,5.651,3.445,-2.05,-1.757,12.724,1.417,2.804,3.767,3.66,3.501,3.514,
Emerging market and developing economies,Volume of imports of goods,Percent change,,,11.384,10.448,-6.153,-3,0.86,-3.946,-2.427,2.892,9.444,7.824,14.406,11.14,7.831,8.964,8.156,10.937,8.507,14.531,1.323,-1.765,13.776,3.514,6.89,12.506,16.344,11.973,12.649,16.104,10.023,-10.758,15.391,11.495,5.157,4.569,2.69,-0.119,2.176,7.495,5.322,-0.056,-5.621,12.088,1.419,2.928,3.774,4.908,4.906,4.844,
Emerging and developing Asia,Volume of imports of goods,Percent change,,,7.59,15.767,4.633,9.09,-3.322,-3.985,2.421,11.798,16.137,15.513,17.76,6.981,9.601,9.479,21.912,19.324,6.263,2.378,-6.846,3.451,17.753,3.984,13.043,20.041,20.018,12.481,12.083,12.596,8.063,-3.101,19.051,12.903,5.471,6.097,4.063,0.512,4.794,9.457,8.212,-1.23,-4.077,13.456,-0.175,3.281,3.827,5.861,5.71,5.651,
Emerging and developing Europe,Volume of imports of goods,Percent change,,,7.08,9.463,-6.921,8.72,12.811,6.949,-1.285,8.789,8.337,5.305,23.203,3.135,8.553,13.951,-5.577,11.748,15.78,31.761,-0.758,-9.986,19.483,0.992,13.041,13.582,15.289,10.785,18.208,21.268,9.285,-23.579,17.752,12.439,1.547,0.53,-0.897,-4.655,5.593,11.435,2.347,2.639,-0.526,11.105,-0.318,4.923,5.213,5.088,5.071,4.387,
ASEAN-5,Volume of imports of goods,Percent change,,,4.89,19.221,2.928,11.238,-5.601,-10.679,-0.096,19.915,19.737,22.237,23.68,14.23,5.727,10.899,21.631,21.144,5.163,-0.057,-19.219,-3.447,18.189,-5.336,6.204,8.347,19.239,12.284,6.817,6.679,7.319,-17.932,18.478,9.869,8.097,4.593,2.187,2.344,4.696,13.201,8.968,-2.686,-6.943,17.925,5.497,6.174,7.595,7.298,7.026,6.921,
Latin America and the Caribbean,Volume of imports of goods,Percent change,,,n/a,n/a,n/a,n/a,n/a,1.329,4.428,5.681,14.539,5.517,8.807,17.366,17.236,15.921,17.395,4.126,9.216,21.529,10.597,-2.795,13.59,0.773,-5.018,2.06,12.582,9.468,12.384,13.107,9.124,-16.954,21.797,10.367,3.823,2.6,0.469,-1.548,-3.071,5.825,6.051,-1.06,-10.699,18.3,2.266,0.144,2.21,2.766,2.923,2.803,
Middle East and Central Asia,Volume of imports of goods,Percent change,,,9.888,16.039,7.803,3.954,-6.957,-10.477,-14.118,-8.92,-1.53,6.814,20.034,14.137,-0.798,0.057,-7.938,6.512,4.852,4.998,5.02,-0.754,4.916,9.069,6.084,9.792,16.337,13.715,8.911,22.071,16.311,-6.137,-0.733,7.46,10.37,6.396,4.012,2.571,0.273,2.033,-1.931,-0.011,-11.903,4.951,8.653,2.239,3.525,3.576,3.731,4.449,
Sub-Saharan Africa,Volume of imports of goods,Percent change,,,11.035,6.106,-9.768,-10.756,11.163,-4.264,4.56,3.612,10.672,0.699,-0.455,6.939,0.806,0.744,6.829,13.657,4.695,12.57,6.084,0.18,-0.921,7.776,7.127,8.027,7.529,16.316,7.841,16.425,12.366,-6.362,11.318,10.89,5.679,5.712,5.636,5.338,-8.037,-1.378,5.265,6.488,-5.521,1.414,5.502,3.081,3.886,3.589,4.201,4.145,
World,Volume of exports of goods and services,Percent change,,,4.244,4.234,-1.713,1.463,8.435,2.879,3.814,5.926,8.877,7.857,6.98,6.014,5.788,3.73,8.71,9.556,6.088,10.389,4.446,4.48,12.241,0.612,3.803,5.648,11.051,7.79,9.632,7.777,2.907,-9.891,12.966,6.86,3.254,3.514,3.609,3.024,2.322,5.548,3.822,0.951,-7.448,9.844,3.88,2.642,3.809,3.74,3.586,3.421,
Advanced economies,Volume of exports of goods and services,Percent change,,,6.057,4.92,-0.941,2.446,9.844,4.307,3.83,5.966,8.75,7.88,7.09,5.949,5.281,2.9,8.827,9.308,6.292,10.774,4.14,5.64,12.049,-0.237,2.712,3.259,9.601,6.285,8.958,6.815,1.92,-10.926,12.161,6.265,2.867,2.989,3.753,3.675,2.03,5.056,3.573,1.207,-8.991,8.675,4.241,2.477,3.365,3.37,3.105,2.871,
Euro area,Volume of exports of goods and services,Percent change,,,3.663,6.207,1.034,3.052,8.172,4.33,0.483,2.986,6.765,9.138,7.301,6.755,3.478,1.012,9.234,8.617,5.151,11.137,7.227,5.414,13.242,4.288,2.628,0.99,7.771,5.168,8.767,6.995,0.261,-12.308,10.644,6.606,2.388,2.315,4.289,6.274,2.768,5.56,3.539,2.706,-9.339,10.657,5.552,2.468,3.685,3.821,3.479,3.193,
Major advanced economies (G7),Volume of exports of goods and services,Percent change,,,6.412,5.13,-1.478,1.517,9.893,4.612,1.792,4.341,8.226,8.984,7.629,5.938,4.577,1.774,7.868,8.54,5.843,11.142,3.795,4.219,11.04,-0.993,1.438,2.031,8.593,5.976,9.521,6.038,1.453,-13.082,12.666,6.139,2.717,1.772,4.336,2.998,1.58,4.845,3.016,0.913,-12.586,6.753,4.619,2.306,3.055,3.17,2.79,2.482,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of exports of goods and services,Percent change,,,n/a,4.781,-0.484,4.25,10.857,4.005,13.202,13.376,11.583,4.143,6.375,7.32,8.083,5.824,10.634,12.587,7.545,9.084,2.157,7.845,14.491,-1.333,5.602,7.644,13.781,8.197,9.041,8.379,4.147,-6.734,13.521,6.909,4.074,4.934,2.051,1.945,1.841,4.903,4.174,-0.35,-4.15,10.201,1.796,2.626,3.607,3.395,3.314,3.152,
Emerging market and developing economies,Volume of exports of goods and services,Percent change,,,-2.407,1.766,-4.374,-2.059,2.978,-2.872,3.742,5.683,9.673,7.708,6.29,6.391,8.755,7.962,8.155,10.746,5.161,8.766,5.54,0.05,12.965,3.424,7.337,13.087,15.316,11.922,11.261,9.933,5.023,-7.866,14.576,7.958,3.921,4.382,3.37,1.925,2.837,6.45,4.26,0.509,-4.794,11.841,3.302,2.894,4.493,4.312,4.331,4.271,
Emerging and developing Asia,Volume of exports of goods and services,Percent change,,,7.972,-8.007,-3.316,7.526,9.865,-1.401,10.996,5.997,15.565,14.505,8.15,13.239,11.567,9.901,15.509,14.439,3.722,10.18,6.118,0.676,18.673,3.21,14.412,18.808,21.963,17.284,18.802,14.828,7.13,-8.97,22.948,10.85,3.956,6.841,4.66,-0.839,2.664,8.552,4.515,0.491,-1.464,15.561,3.039,2.683,4.649,4.637,4.667,4.62,
Emerging and developing Europe,Volume of exports of goods and services,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.493,7.132,3.437,5.621,10.067,5.327,10.203,8.946,-7.716,13.551,6.509,6.967,11.47,12.49,7.118,9.532,8.897,5.219,-7.291,9.805,4.648,2.834,3.99,2.64,3.936,4.221,7.907,6.182,2.71,-5.485,12.584,-2.732,1.925,5.423,4.441,4.504,4.034,
ASEAN-5,Volume of exports of goods and services,Percent change,,,8.046,-12.447,-6.929,8.699,12.153,-1.499,13.311,6.828,18.682,16.505,9.124,15.21,12.679,9.578,16.669,15.046,3.502,9.427,3.659,-4.797,15.057,-3.921,5.492,7.014,15.639,7.609,8.521,2.377,-0.269,-8.056,10.925,9.527,1.768,2.946,4.39,3.402,5.166,9.828,5.354,0.948,-7.413,10.315,4.572,3.429,6.777,5.581,5.951,5.701,
Latin America and the Caribbean,Volume of exports of goods and services,Percent change,,,n/a,n/a,n/a,6.712,6.742,0.123,-0.101,4.277,10.459,5.488,3.992,3.161,7.284,8.036,10.552,13.778,7.792,10.06,6.697,3.893,9.012,1.941,1.558,4.941,10.699,7.803,5.707,2.847,0.117,-9.452,10.405,5.842,2.992,1.183,1.404,4.259,2.722,3.828,3.453,0.823,-9.349,7.907,5.221,3.222,3.613,3.568,3.42,2.965,
Middle East and Central Asia,Volume of exports of goods and services,Percent change,,,-10.827,5.382,-9.868,-12.684,-5.325,-8.782,8.072,3.767,6.935,9.909,12.58,6.901,10.242,10.788,1.576,2.429,2.352,5.592,1.164,0.761,8.963,2.631,1.91,14.263,10.744,9.911,6.329,7.94,5.292,-6.14,6.641,8.5,6.016,1.972,3.289,4.707,2.931,1.485,2.517,-2.498,-9.252,2.442,10.274,3.941,3.463,3.523,3.395,3.983,
Sub-Saharan Africa,Volume of exports of goods and services,Percent change,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.345,3.606,3.576,2.201,11.933,8.765,4.136,0.19,3.282,3.114,4.387,2.679,5.778,8.566,10.253,0.72,7.625,2.492,-4.436,5.635,0.015,2.164,3.788,0.652,3.552,-0.087,3.052,2.979,2.151,-9.61,2.389,1.599,4.059,5.568,4.832,5.389,5.665,
World,Volume of exports of goods,Percent change,,,4.066,4.354,-2.236,1.869,8.994,3.427,3.719,6.136,9.488,7.675,6.304,6.694,6.591,4.157,9.234,10.098,5.895,11.104,4.121,5.002,12.964,0.299,3.85,6.339,11.006,7.916,9.606,7.194,2.549,-11.26,14.715,7.052,3.245,3.262,2.937,2.363,2.059,5.657,3.38,0.039,-4.209,10.226,2.006,1.96,3.365,3.513,3.415,3.328,
Advanced economies,Volume of exports of goods,Percent change,,,6.509,4.899,-1.061,3.271,10.484,4.67,3.659,6.134,9.124,7.511,6.151,6.55,6.011,3.188,9.654,10.13,5.871,11.69,3.521,5.64,12.686,-0.692,2.671,3.735,9.613,6.403,9.125,6.143,1.466,-12.915,14.419,6.492,2.478,2.518,3.031,2.999,1.657,5.121,3.039,0.336,-6.423,9.722,2.427,1.651,2.99,3.225,3.025,2.804,
Euro area,Volume of exports of goods,Percent change,,,3.478,6.228,0.956,3.125,8.346,4.807,1.109,3.457,7.701,9.474,6.031,8.171,2.94,1.304,10.683,9.879,4.921,10.838,6.184,5.343,13.262,4.275,2.531,1.246,8.024,5.119,9.043,7.274,-0.239,-14.157,12.395,6.896,1.994,1.561,3.456,5.788,2.461,5.229,2.827,1.509,-7.281,10.799,3.69,2.251,3.639,3.76,3.494,3.147,
